Sample,10:00,11:00,12:00,13:00,UNK1,UNK2,UNK3,14:00,14:1n-5,15:00,15:1n-5,16:00,16:1n-7,17:00,16:2n-4,17:1n-7,16:3n-4,UNK4,16:4n-1,18:00,18:1n-9 t,18:1n-7 t,18:1n-9,18:1n-7,18:2n-6 t,19:00,18:2n-6,18:2n-4,18:3n-6,18:3n-4,18:3n-3,20:00,18:4n-3,20:1n-13,20:1n-11,20:1n-9,21:00,20:2n-6,20:3n-6,20:4n-6,20:3n-3,22:00,20:4n-3,22:1n-11,22:1n-9,20:5n-3,22:2NMI,22:2n-6,22:3n-3,22:4n-6,24:00:00,22:5n-6,24:1n-9,22:5n-3,22:6n-3,24:5n-3,24:6n-3,SFA,MUFA,PUFA,n-3 PUFA,n-3 LC PUFA,n-6 PUFA,n-6 LC PUFA,n-6/n-3,SUM_SMP,PUFA_cal,treatment,tank,genotype,type
L-T2-3-20,0,0,0,0,0.272992129,0,0.150764343,2.492831543,0,0.588891071,0.436564761,24.55832466,1.943418517,8.495706445,0.540186278,0.15033422,0.362411826,5.422296151,0,11.26424946,0,0,2.580825668,0.57093917,0,0,1.51008076,0,1.773504023,0.653074165,1.195633084,1.651072589,3.47860024,0,0.69654298,0.284177643,0.369784652,0.358248878,1.676075316,4.988095848,0,0.242211568,0.631542071,0,0,5.685838365,0,0,0,4.528878284,0.485195466,0,0,1.1358637,6.445915458,0,0,50.14826746,3.511038121,32.77673396,17.94185085,13.89915959,14.83488311,11.55129833,0.826831258,86.43603954,34.9639483,LiveFeeds,2,3,coral
L-T2-3-38,0,0,0.142080658,0,0.368887839,0.089936828,0.208965755,3.025174347,0.139629495,0.534746822,0.35519696,22.11695453,1.982435666,6.705962874,0.424173349,0.267067982,0.361584881,5.055453587,0,8.82131101,0,0,2.312563374,0.556969294,0,0,1.37539577,0,1.895514316,0.426092341,1.000254495,1.335760565,5.65575907,0,0.671249554,0.29750777,0.353438054,0.331294303,1.282731839,6.054107494,0,0.267297384,0.581863027,0,0.95532674,8.381766877,0,0,0,3.96025616,0.418949261,0,0,1.441805198,8.628218398,0,0,43.7216755,4.668414167,40.00710392,25.10780404,19.0336535,14.89929988,11.6283898,0.593413102,88.39719359,41.80081752,LiveFeeds,2,3,coral
L-T2-4-42,0,0,0.119382776,0,0.434588314,0.112613439,0.24586927,2.335344915,0.117544402,0.614090386,0.371954822,20.02020667,1.567158114,6.917621607,0.439316246,0.252507767,0.4115142,6.296339472,0,7.619871921,0,0,2.177307687,0.718323703,0,0,1.349989373,0,1.108171049,0.35914171,1.422010845,1.085858016,5.961969005,0,0.484463106,0.305161554,0.671857176,0.39257274,0.865358633,6.468408325,0.314141246,0.437745189,0.602711991,0,0,10.10268634,0,0,0,3.632409428,0.376561543,0,0,1.945796576,10.09037277,0,0,40.1985402,3.098789766,43.65388633,29.83697678,23.05570892,13.81690955,11.35874913,0.463080078,86.9512163,45.46657048,LiveFeeds,2,4,coral
L-T2-5-33-2,0,0,0.193662887,0,0.382491559,0,0.217548305,2.465761947,0.148601008,0.8067642,0.506233943,24.26072549,1.689200758,8.887676312,0.575592275,0.272172178,0.315125443,3.620678028,0,6.891735724,0,0,3.704053799,0.64102237,0,0,1.742711848,0,1.307908869,0.681725633,2.016002604,1.042922107,4.617574696,0,0,0.548233912,0.609933144,0.271020159,0.795055419,5.06734764,0,0,0.603952969,2.397114751,0,8.304518469,0,0,0,1.975416277,0.642935845,0,0,1.217705816,8.067851425,0,0,45.80211765,5.56155655,35.38311322,24.22365301,18.19402868,11.15946021,8.108839494,0.460684448,86.74678742,37.55950954,LiveFeeds,2,5,coral
L-T3-1-13,0,0,0.114236602,0,0.359212565,0.109779344,0.207002403,2.946547599,0.072984803,0.576571782,0.324766817,23.40619239,1.43499477,8.025439705,0.451730862,0.164746067,0.195425773,6.745482166,0,9.849572459,0,0,2.617076809,0.674944335,0,0,1.033421466,0,1.225856466,0.251756746,0.902383765,1.533456599,4.190399949,0,0.906894284,0.205608353,0.408978437,0.400053742,1.347424628,5.262305236,0,0.28629498,0.657521028,0.665043765,0,7.159021161,0,0,0,4.756470405,0.263714588,0,0,1.819948147,7.84276008,0,0,47.41100515,3.77503886,35.94004505,21.9145131,17.47925042,14.02553194,11.76625401,0.640011114,87.12608905,37.49647945,LiveFeeds,3,1,coral
L-T3-1-19,0,0,0,0,0.379666442,0,0.215259504,2.299984291,0,0.426622245,0.436200934,21.7879979,1.385361138,6.409731615,0.433610888,0.154033924,0.399081449,6.414646393,0,10.64658496,0,0,2.875931222,0.763219331,0,0,1.466702107,0,1.389219062,0.656691684,1.61190828,1.549228912,4.058633499,0,0.752039651,0.191654029,0.557079328,0.45853929,1.206313855,5.398256937,0,0.343958086,0.647715792,0,0,7.620857024,0,0,0,4.892157986,0.546007784,0,0,1.689104993,7.281182296,0,0,44.56719512,2.919289676,37.07287533,22.26168609,17.2388601,14.81118924,11.95526807,0.665321988,84.55936012,39.20997514,LiveFeeds,3,1,coral
L-T3-2-04,0.193037483,0,0,0,0.398346766,0.099610835,0.225720087,2.585777299,0.117738895,0.55788212,0.47505099,20.21083219,1.55586793,6.131303094,0.436929596,0.244372536,0.468687715,7.243623915,0,9.363411721,0,0,2.528270623,0.575446796,0,0,1.120928129,0,1.291215348,0.424995093,1.360409526,1.43984031,4.76087058,0,0.643397178,0.245664813,0.509805609,0.407737791,0.994441532,7.2523482,0.27425331,0.511232971,0.578428269,0,1.017452942,8.195263065,0,0,0,5.158426502,0.500489284,0,0,1.635936191,7.257428534,0,0,42.00361208,4.299545285,39.70925871,23.48416121,17.94130937,16.2250975,13.81295403,0.690895338,86.01241607,41.61829938,LiveFeeds,3,2,coral
L-T3-2-32,0.125583117,0,0.157616986,0,0.329359118,0.084800058,0.191113818,2.795450805,0.101764505,0.660292682,0.310267627,22.5277663,1.671739179,7.372898367,0.468587623,0.200266622,0.326878743,5.943906026,0,9.600683023,0,0,2.618913986,0.542886836,0,0,1.088011948,0,1.537894639,0.294387585,1.632093442,1.532882786,4.664426407,0,0.7459213,0.270162054,0.4609239,0.392527247,1.08902083,5.763773558,0.224941788,0.348142484,0.667522597,0,0.799158622,7.373522288,0,0,0,4.498566639,0.574762572,0,0,1.381205535,7.833947001,0,0,46.15700302,4.09927991,37.47993132,23.11013646,17.48113921,14.36979486,11.74388827,0.621796193,87.73621425,39.23730787,LiveFeeds,3,2,coral
L-T3-5-21,0,0,0,0,0.496137144,0,0.280583444,2.601749514,0,0.619682691,0.683614898,22.51130807,1.714843459,6.109499015,0.472538801,0.259831772,0.529562126,4.791772457,0,9.70977338,0,0,3.113934608,0.7994451,0,0,2.003693243,0,1.484628013,0.74460761,1.247084857,1.350470627,4.495928141,0,0.493691634,0,0.487503886,0.293119193,1.065692124,5.355899477,0,0.326836945,0.543791447,0,3.765117873,6.879992992,0,0,0,3.837236528,0.758323505,0,0,1.062175462,6.831341876,0,0,44.47514763,6.917099636,34.55679191,20.51652333,15.31730178,14.04026858,10.55194732,0.684339561,85.94903917,36.84729189,LiveFeeds,3,5,coral
L-T4-1-33,0,0,0.129053249,0,0.508778676,0.131024583,0.29438546,2.337626155,0.085492888,0.377748527,0.603915535,20.5306837,1.474433954,4.32825897,0.322034697,0.287860743,0.352634965,7.379365627,0,10.87006364,0,0,3.072969905,1.128688537,0,0,1.671989902,0,1.141345177,0.373230385,2.242925544,1.41466489,5.025021788,0,0.671883936,0.307808995,0.756403386,0.539997272,0.150667631,5.075343153,0.402163902,0.568112629,0.539825882,0,0,9.294503759,0,0,0,5.253909822,0.418379289,0,0,2.091355229,6.633161169,0,0,41.73099444,3.431396052,39.52238435,25.68913139,18.96100994,13.83325296,11.01991788,0.538486598,84.68477484,41.11011028,LiveFeeds,4,1,coral
