treatment,ID,tank_rep_rand,tank_rep,genotype,fragment,rep,moisture_mgg,ash_DW_mgg,organic_DW_mgg,lipid_DW_mgg,lipid_AFDW_mgg,protien_DW_per,protein_AFDW_mgg
Dissolved,D-T3-5-10,Dissolved_3,3,5,10,0,82.26217273,954.6332231,45.36677691,5.606156544,123.5740541,0.377,83.10045933
Dissolved,D-T4-2-25,Dissolved_4,4,2,25,0,91.53739337,941.4483277,58.55167234,9.672447013,165.1950598,0.663,113.2333157
Dissolved,D-T4-2-36,Dissolved_4,4,2,36,0,77.11028959,959.0867357,40.91326425,7.516386776,183.7151572,0.38,92.87941379
Dissolved,D-T4-4-02,Dissolved_4,4,4,2,0,87.08176,933.0007634,66.99923663,9.348287959,139.5282757,0.566,84.47857446
Dissolved,D-T4-4-28,Dissolved_4,4,4,28,0,75.52676243,956.3159406,43.68405939,9.616431576,220.1359423,0.485,111.0244805
Dissolved,D-T4-5-14,Dissolved_4,4,5,14,0,67.31598233,956.3030175,43.69698249,6.508710801,148.9510358,0.427,97.718418
Field,FL-T1-3-01,Field_1,1,3,1,0,47.90979976,929.0376151,70.96238494,6.906693231,97.32893331,0.397,55.94513211
Field,FL-T2-2-04,Field_1,1,2,4,0,70.99337748,955.2775874,44.72241261,8.495552404,189.9618538,0.607,135.7261303
Field,FL-T3-4-03,Field_1,1,4,3,0,98.25867443,920.6254949,79.37450515,5.480152459,69.04172125,0.493,62.11062344
Field,FL-T4-4-05,Field_1,1,4,5,0,86.53205126,920.0573066,79.94269341,4.818078454,60.26915342,0.47,58.7921147
Field,FL-T5-2-07,Field_1,1,2,7,0,70.20045291,953.58678,46.41321998,5.59613107,120.5719205,0.496,106.8661041
Field,FL-T6-5-08,Field_1,1,5,8,0,46.87533112,954.5691353,45.43086473,5.33007335,117.322736,0.301,66.25451701
Field,FL-T7-5-04,Field_1,1,5,4,0,53.26614026,935.4590639,64.5409361,5.509120296,85.35854341,0.495,76.69550985
Field,FL-T8-1-08,Field_1,1,1,8,0,117.6434795,929.1150821,70.88491785,7.763508602,109.5227142,0.557,78.57806948
Field,FL-T9-1-06,Field_1,1,1,6,0,110.7617793,919.5119721,80.48802788,6.640262392,82.50000115,0.599,74.42100593
Field,FL-T10-3-10,Field_1,1,3,10,0,46.81577037,939.3014093,60.6985907,5.572139303,91.80014296,0.433,71.33608788
SeaSim,S-T1-5-09,SeaSim_1,1,5,9,0,48.97246722,961.4089982,38.59100175,3.053155994,79.11574863,0.49,126.9726044
SeaSim,S-T2-5-05,SeaSim_1,1,5,5,0,58.10618192,951.639905,48.36009505,10.41834736,215.4327312,0.257,53.14298902
SeaSim,S-T3-1-10,SeaSim_1,1,1,10,0,74.23352282,958.975449,41.02455096,3.52805337,85.9985859,0.368,89.70238342
