10:00,11:00,12:00,UNK1,UNK2,UNK3,14:00,14:1n-5,15:00,15:1n-5,16:00,16:1n-7,17:00,16:2n-4,17:1n-7,16:3n-4,UNK4,18:00,18:1n-9 t,18:1n-7 t,18:1n-9,18:1n-7,18:2n-6 t,18:2n-6,18:3n-6,18:3n-4,18:3n-3,20:00,18:4n-3,20:1n-11,20:1n-9,21:00,20:2n-6,20:3n-6,20:4n-6,20:3n-3,22:00,20:4n-3,22:1n-11,22:1n-9,20:5n-3,22:2n-6,22:4n-6,24:00:00,22:5n-3,22:6n-3,24:5n-3,24:6n-3
0.146669831,0,0.076096419,0.074406477,0.046953714,0.054309588,3.691365781,0.044453723,1.19756119,0.064510585,37.67191416,1.807260399,13.79593801,0.701762153,0.100811467,0.08086537,1.5592272,9.51641257,0,0,5.792333706,0.519682092,0,1.202698555,2.062976,0.129803432,0.478798625,1.771818186,1.22647918,0,2.610485591,0.176017076,0.509528595,2.965007605,0.957105264,0,0,0.675650617,0,0.562828431,1.473333642,0,0.756372608,0.214953957,0.263865972,4.457965032,0,0
0.039008531,0,0.062856313,0.058128627,0.055685303,0.041073328,3.419239697,0.037078545,1.130332078,0.062096713,37.47459427,1.790975656,13.44157794,0.681007925,0.053910689,0.131437548,1.604151844,9.438680002,0.056355497,0,6.270546711,0.520664994,0,1.165799496,1.855851579,0.138687631,0.402184946,1.761461926,1.125062269,0,2.904390814,0.176322617,0.480171476,2.909474016,1.044575647,0,0,0.694875789,0,0.610669271,1.521044069,0,0.799800712,0.210791309,0.301274863,4.971897613,0,0
0,0,0.082060972,0.129690627,0,0.13207452,2.726266511,0.060388055,0.992165221,0.111827432,28.74538263,1.489572581,9.848566226,0.530629194,0.065588045,0.169286445,3.734228959,7.790042842,0.065292042,0,6.178715382,0.472954443,0,0.934947386,1.556526919,0.209610033,0.657854152,1.505564659,2.1418115,0,2.630687137,0.30055193,0.534615184,2.594705596,4.965843021,0,0,0.890141729,0,0.872622432,4.12169183,0,2.29220317,0.331634717,0.92401004,8.56346855,0,0
0.081387418,0,0.072351678,0.062013578,0,0,3.095295792,0,1.248560726,0.072939222,33.59033844,1.324388185,13.12016745,0.708031944,0,0.103433303,2.516023238,9.908145198,0.097374062,0,6.295785845,0.431163434,0,0.968440176,1.529397103,0.189782499,0.615792287,2.021638105,1.295391395,0,3.193463953,0.320272942,0.619831088,2.780561097,1.809129857,0,0,0.955795658,0,0.192231031,1.823464776,0,1.605464949,0.290449612,0.455593816,5.781810508,0,0
0.098979502,0,0.073704603,0.081214382,0,0.055279448,2.960103444,0.04540945,1.177442821,0.076144751,33.35102576,1.304114181,12.58567606,0.673866135,0,0.111864213,2.985105351,9.915156504,0.06163921,0,6.019589193,0.427238269,0,0.988473866,1.4442357,0.196566466,0.791627879,1.923577866,1.392202858,0,2.904930981,0.311403993,0.585114747,2.524931867,2.178187716,0,0,0.863783622,0,0.915721599,2.004576912,0,1.996587698,0.28811797,0.494347653,5.383641784,0,0
0,0,0.087275411,0.087989789,0.035236819,0.053518206,2.902584324,0.042032483,1.1522102,0.083414415,33.98299476,1.670152505,13.37274439,0.68055129,0.063515618,0.132324201,2.144036996,7.610071952,0.041395974,0,6.112457328,0.416497289,0,0.794048913,1.360547262,0.129709339,0.446726299,1.366330685,1.461661706,0,2.445398509,0.22198999,0.395228317,2.775864629,2.604414027,0,0,0.802123123,0,0.627783905,2.821920874,0,1.069976696,0.222606522,0.671844083,8.674093508,0,0
0,0,0.078863947,0.109208833,0,0.100614583,3.184471977,0,1.381165008,0.219499388,32.690896,1.509331874,13.44092951,0.708630452,0,0,1.811798209,8.338776881,0.0783032,0,6.249387633,0.446819799,0,1.324736055,1.481318279,0.303616977,0.704871357,1.751083567,1.349228828,0,2.44432702,0.349636308,0.47283369,2.321047547,2.186452022,0,0,0.791752131,0,1.136612444,2.593633554,0,1.305099453,0.397398355,0.493601583,7.055754952,0,0
0,0,0.076949402,0.128648494,0.050105028,0.078722995,3.603700613,0.048653242,1.665802168,0.08446149,33.13613087,1.563595236,14.84560339,0.776040665,0,0,2.352419222,9.255708736,0.048953676,0,5.319103461,0.35628075,0,1.015843368,1.471972213,0.173280807,0.713851295,1.889969356,1.563425036,0,2.314190135,0.268840568,0.477441338,2.071905906,1.683340131,0,0,0.774283838,0,0.774954852,2.430552764,0,1.436888169,0.278400305,0.463668341,6.081355678,0,0
0,0,0.085716694,0.050442407,0,0,3.36125889,0,0.847927909,0.093987604,35.61346437,1.416659823,10.60133814,0.556171807,0.049066866,0.042623816,2.310803603,10.11003919,0.068529269,0,6.84589796,0.524371095,0,0.962973337,1.508849798,0.186144879,1.071670237,1.879949493,1.096231179,0,3.400008375,0.263732267,0.578950302,2.44020629,1.704074551,0,0,0.840808579,0,1.241952038,2.164304398,0,1.376052993,0.453250026,0.443692413,5.123417993,0,0
0.0629734,0,0.115466282,0.079316458,0,0.056068887,3.565648917,0,0.982900692,0.069681317,35.80889413,1.588390358,11.78596514,0.618413606,0,0,2.111331217,9.910539131,0.061076573,0,6.624785148,0.565626837,0,0.913843043,1.409596888,0.231359551,0.785239395,1.891398036,1.115105778,0,3.173064627,0.238658787,0.52001399,2.428645463,1.424710278,0,0,0.778339992,0,1.406413775,1.87630138,0,1.179855327,0.354648041,0.422792712,4.870143798,0,0
0.211834911,0,2.118531806,0.28765117,0.09402679,0.147357255,3.105545794,0.07678357,0.855020478,0.113710622,26.66620063,1.774638313,11.09375231,0.551984517,0.200898233,0.232230463,3.644764831,7.210584929,0,0,2.00853858,0.410080466,0,0.686840093,1.508556004,0.204813563,0.395027149,1.113388541,4.939105562,0,0.559899966,0.225724597,0.334574592,1.773502613,4.56136531,0,0.200738571,0.799065322,0,0.141088872,6.940643914,0.148645054,2.217520769,0.217151629,1.278180675,10.02092942,0,0
0,0,0.189052035,0.439389726,0,0.239528448,2.498116485,0.148935603,0.721957614,0.155337006,22.64979768,1.663119772,8.861869199,0.491153223,0.19146974,0.374105743,4.755939015,6.940978406,0,0,2.111462862,0.388879204,0,0.869302398,1.351104649,0.632935481,0.832138345,1.104652215,6.680131114,0,0.462582178,0.271916605,0.316216242,1.156822925,7.638360778,0,0.220300608,0.617260535,0,0,8.746315691,0,2.314054809,0.321727292,1.20768551,10.73683616,0,0
0.132026753,0,0.144340205,0.309965763,0,0.169515717,2.799854159,0,0.829825443,0.27212751,27.71941622,2.041683305,10.83054452,0.600670758,0.12509559,0.33398131,3.376790898,9.187942202,0,0,2.661066034,0.44692211,0,1.048597456,1.704757055,0.551244637,0.744290598,1.321218026,4.584275638,0,0.649994106,0.268981554,0.346264076,1.80449582,4.116150335,0,0.403291809,0.696008529,0,0,5.953689175,0,2.819882576,0.395381255,0.900244019,7.825309592,0,0
