sample,SFA,MUFA,PUFA,PUFA_n3,LC_PUFA_n3,PUFA_n6,LC_PUFA_n6,treatment,tank,genotype
M-T2-5-30,49.09775008,3.552892248,37.62725069,24.3707936,18.12871094,11.55429279,8.798581725,Mix,2,5
M-T2-5-35,49.57605977,3.873242451,34.00972625,20.12206638,14.71737494,11.72545667,8.873729666,Mix,2,5
M-T3-3-33,43.85387407,3.683593705,43.7556879,28.55415719,21.7051812,13.31623697,10.74246239,Mix,3,3
M-T3-4-05,52.30292883,3.092589954,35.45923768,22.38755069,17.98463815,11.05906674,8.933151226,Mix,3,4
M-T3-4-18,50.80806339,4.315298153,34.97171172,21.5027383,16.35522313,11.61902267,9.500319385,Mix,3,4
M-T3-5-16,53.07683628,3.878436029,34.33619172,20.93176958,16.44768261,11.18658912,8.279397919,Mix,3,5
M-T3-5-41,48.21431294,3.635738478,36.70079805,21.65930277,16.37032612,12.8957963,10.4360665,Mix,3,5
M-T4-2-02,48.33570133,3.255580535,37.71283416,21.37403154,15.87088303,14.04864542,10.97369767,Mix,4,2
M-T4-3-14,49.62139257,4.932840505,35.46667542,18.57579568,14.68588531,14.91833505,12.03730911,Mix,4,3
M-T4-4-11,42.52937573,5.023203794,41.41338975,24.67438438,18.80070137,14.77244989,12.55332313,Mix,4,4
M-T4-4-26,50.25508213,3.334889529,36.63493878,22.07116349,16.76042273,12.75931891,10.12558699,Mix,4,4
M-T4-5-42,44.85573873,5.668348655,37.59170245,22.61641032,16.71009503,13.07739199,10.79843565,Mix,4,5
P-T1-1-08-2,44.98664447,3.871367698,41.45930341,25.50873077,19.92805967,14.31289497,11.53624407,Pellets,1,1
P-T1-1-26,42.78976544,2.79765736,46.19532062,29.8929356,22.62213325,14.52830906,11.89606914,Pellets,1,1
P-T1-2-34,43.70029526,2.584887417,43.14939509,24.00880797,18.53249448,17.25919391,14.69827282,Pellets,1,2
P-T1-3-02,48.1224194,5.083750884,36.91112727,18.88297546,14.68240189,15.101785,11.41909887,Pellets,1,3
P-T1-4-38,51.88012817,2.885736162,35.73923402,20.17805332,15.97720123,13.6161402,11.26965105,Pellets,1,4
P-T2-1-38,50.30307331,3.267376916,39.06419399,24.44192285,19.49557697,12.88824624,10.38748662,Pellets,2,1
P-T2-2-05,52.81395823,6.26229216,34.49572971,20.2094017,16.34481675,11.67397664,8.011146518,Pellets,2,2
P-T2-2-24,54.27994701,2.497069731,34.16173787,19.74596753,15.85291121,12.22848846,10.12608669,Pellets,2,2
P-T2-4-01,58.01038565,5.636899252,28.21393486,15.46628881,12.76453229,10.3268079,7.374831716,Pellets,2,4
P-T2-5-05,55.2588897,4.241882673,31.44423734,16.6436982,13.05654428,12.73004136,9.021760004,Pellets,2,5
P-T3-2-11,39.53285619,2.696093275,48.13400473,31.0759341,23.37100312,15.24326637,12.95949263,Pellets,3,2
P-T3-2-33,42.81932112,2.660660756,46.25107212,29.44210367,21.87214465,14.72992916,12.08849363,Pellets,3,2
P-T3-3-05,50.69698791,4.824860649,34.67806104,17.88175839,13.88300428,14.54998831,11.30636082,Pellets,3,3
P-T3-5-08,46.8769455,4.493263397,39.50577966,24.72041344,18.87606859,12.89009996,10.54096903,Pellets,3,5
P-T3-5-26,54.14635299,4.340931293,32.5084287,19.69040385,14.8655568,10.94757415,8.529499913,Pellets,3,5
P-T4-1-50,49.21340588,3.726508585,38.63054681,23.18518482,18.0790608,13.51520735,10.36459978,Pellets,4,1
P-T4-2-06,43.88446101,4.882230747,37.05578509,19.75279589,15.33125769,13.94184008,10.90235954,Pellets,4,2
P-T4-2-26,56.03022377,2.76093606,33.7014989,20.43599788,16.4273616,11.11661919,8.439373501,Pellets,4,2
P-T4-4-03,47.2330609,5.747337277,34.89461443,17.20616822,12.95079814,14.49131266,9.327846063,Pellets,4,4
P-T4-5-06,42.42600409,5.808541054,37.69844236,19.04140401,13.51193339,15.94551918,10.66037074,Pellets,4,5
S-T10-2-07,42.54198699,6.717663666,36.74834237,19.68579493,14.06385104,14.8585487,12.61380435,SeaSim,1,2
S-T1-5-09,51.06762564,6.294267251,32.65503684,17.44189658,13.6010584,12.82854302,9.328651367,SeaSim,1,5
S-T2-5-05,53.1302751,7.189027655,27.85326317,15.22491712,10.52422631,9.99711982,6.807582256,SeaSim,1,5
S-T3-1-10,37.10906482,5.670820415,44.59204641,23.89316291,17.65704754,18.57052777,14.9648585,SeaSim,1,1
S-T4-2-04,43.91867342,6.774935993,32.16958728,16.0307661,11.12052316,13.73092646,11.21416922,SeaSim,1,2
S-T5-4-09,46.19644629,7.611630398,30.66394028,15.24227377,10.10764201,12.94430517,9.444368819,SeaSim,1,4
S-T6-1-09,41.29033963,5.762465674,40.48005988,24.12126229,17.31855358,14.03475199,11.66188002,SeaSim,1,1
S-T7-3-09,41.95036916,6.655159099,38.38487802,20.28308092,14.3544964,15.97204359,12.75317849,SeaSim,1,3
S-T8-3-03,52.39846683,6.582647946,28.18863849,13.63337942,10.03325223,12.51707868,9.340328263,SeaSim,1,3
S-T9-4-10,48.07425682,6.15198669,33.16148505,17.05240692,12.54229531,13.83961087,11.01309637,SeaSim,1,4
ROT-01,33.48408464,15.11120163,35.21128614,21.17346598,19.3503745,11.7535161,4.69953754,Rotifer,1,0
ROT-02,30.06966124,15.18571309,38.03381653,21.85069971,21.4207878,14.12826846,6.555563622,Rotifer,2,0
ROT-03,29.96350878,15.23705987,37.20309525,21.91358147,21.35101942,13.44063324,5.800734011,Rotifer,3,0
PEL-01,18.63601935,9.402679662,37.20486525,9.372687799,4.594288645,26.88200554,0.69000198,Pellets_diet,1,0
PEL-02,18.6981685,9.4816359,37.25834475,9.340271659,4.572494771,26.96676539,0.770783248,Pellets_diet,2,0
PEL-03,18.66156075,9.437854673,37.40852555,9.342946167,4.624855607,27.07356326,0.936363351,Pellets_diet,3,0
ALG-01,58.56294289,6.222339702,26.75348475,18.52141464,8.242468785,5.493605159,0,Algae,1,0
ALG-02,27.24515879,10.40134827,50.35316576,38.48178846,13.15407871,8.682929708,1.966878851,Algae,2,0
ALG-03,24.87375528,9.282084695,53.73704361,41.73493225,12.82979433,9.462335734,2.473625727,Algae,3,0
ART-01,19.41156382,3.813407964,47.65940053,37.75764613,2.817419337,8.135675908,1.42669963,Artemia,1,0
ART-02,18.95732528,4.640574257,46.72854734,35.79847293,3.648823173,9.019713818,1.422411529,Artemia,2,0
ART-03,19.01590902,4.673945669,46.45243451,35.4784099,3.298385545,9.020909252,1.351943871,Artemia,3,0
